名称,功效,主治,组成原文,用法用量,方解,要点,加减化裁,注意事项,临床应用,其他信息
苓甘五味姜辛汤,温肺化饮,寒饮咳嗽。咳痰量多，清稀色白，或喜唾涎沫，胸满不舒，舌苔白滑，脉弦滑,茯苓12g，甘草、干姜各9g，细辛、五味子各5g。,上五味，以水八升，煮取三升，去滓，温服半升，日三服。现代用法：水煎温服。,多因脾阳不足，寒从中生，以致聚湿成饮，寒饮犯肺。此即 “形寒饮冷则伤肺”《灵枢》邪气脏腑病形之义。寒饮停肺，宣降违和，故咳嗽痰多、清稀色白；饮阻气机，故胸满不舒；饮邪犯胃，则喜唾涎沫。治当温阳化饮。,本方为治寒饮咳嗽的代表方、常用方。临床应用以咳嗽痰多稀白，舌苔白滑，脉象弦滑为辨证要点。,若痰多欲呕者，加半夏以温化寒痰，降逆止呕；咳甚喘急者，加杏仁、厚朴以降气止咳；脾虚食少者，可加人参、白术、陈皮等以益气健脾。,凡肺燥有热、阴虚咳嗽、痰中带血者，忌用本方。,常用于慢性支气管炎、肺气肿等属寒饮内停者。,原书主治 《金匮要略·痰饮咳嗽病脉证并治》：“咳逆倚息不得卧，小青龙汤主之。青龙汤下已，多唾口燥，寸脉沉，尺脉微，手足厥逆，气从小腹上冲胸咽，手足痹，其面翕热如醉状，因复下流阴股，小便难，时复冒者，与茯苓桂枝五味甘草汤治其气冲。冲气即低，而反更咳，胸满者，用桂苓五味甘草汤去桂，加干姜、细辛，以治其咳满。”
贝母瓜蒌散,润肺清热，理气化痰,燥痰咳嗽。咳嗽呛急，咯痰不爽，涩而难出，咽喉干燥，苔白而干,贝母一钱五分 (5g) ，瓜蒌一钱 (3g)， 茯苓 、橘红 、花粉 、桔梗各八分 (各2.5g)。,水煎服。,燥热伤肺，灼津成痰。燥痰不化，清肃无权，以致肺气上逆，咳嗽呛急；燥伤津液，故咯痰不爽、涩而难出、咽喉干燥哽痛；苔白而干为燥痰之征象。治宜润肺清热，理气化痰。,本方为治疗燥痰证的常用方。临床应用以咳嗽呛急，咯痰难出，咽喉干燥，苔白而干为辨证要点。,如兼感风邪，咽痒而咳，微恶风者，可加桑叶、杏仁、蝉蜕、牛蒡子等宣肺散邪；燥热较甚，咽喉干涩哽痛明显者，可加麦冬、玄参、生石膏等清燥润肺；声音嘶哑、痰中带血者，可去橘红，加南沙参、阿胶、白及等养阴清肺，化痰止血。,对于肺肾阴虚，虚火上炎之咳嗽，则非所宜。,肺结核、肺炎等属燥痰证者。,贝母瓜蒌散
清气化痰丸,清热化痰，理气止咳。,痰热咳嗽。咳嗽气喘，咯痰黄稠，胸膈痞闷，甚则气急呕恶，烦躁不宁，舌质红，苔黄腻，脉滑数。,瓜蒌仁一两 (30g) ，枳实一两 (30g) ，陈皮一两 (30g) ，茯苓一两 (30g) 、黄芩一两 (30g) ，胆南星一两半 (45g) ，杏仁一两 (30g) ，制半夏一两半 (45g)。,上粉末与生姜100g汁泛丸，每服6~9g，1日2次，小儿酌减；亦可作汤剂。,痰阻气滞，气郁化火，痰热互结，壅肺为患。症见咳嗽气喘、咯痰黄稠；阻碍气机，则胸膈痞闷，甚则气逆于上，发为气急呕恶；痰热扰乱心神，可见烦躁不宁。治当清热化痰，理气止咳。,本方为治疗痰热咳嗽的常用方。临床应用以咯痰黄稠，胸膈痞闷，舌红苔黄腻，脉滑数为辨证要点。,如兼感风邪，咽痒而咳，微恶风者，可加桑叶、杏仁、蝉蜕、牛蒡子等宣肺散邪；燥热较甚，咽喉干涩哽痛明显者，可加麦冬、玄参、生石膏等清燥润肺；声音嘶哑、痰中带血者，可去橘红，加南沙参、阿胶、白及等养阴清肺，化痰止血。,本方性偏苦燥，阴虚燥咳、脾虚寒痰者忌用。,常用于肺炎、急性支气管炎、慢性支气管炎急性发作等属痰热内结者。,附方：清金降火汤《古今医鉴》陈皮一钱五分 (4.5g) 半夏泡一钱 (3g) 茯苓一钱 (3g) 桔梗一钱 (3g) 枳壳麸炒一钱 (3g) 贝母去心一钱 (3g) 前胡一钱 (3g) 杏仁去皮尖一钱半 (4.5g) 黄芩炒一钱 (3g) 石膏一钱 (3g) 瓜蒌仁一钱 (3g) 炙甘草三分 (1g) 上锉一剂。加生姜三片，水煎，食远，临卧服。功用：清金降火，化痰止嗽。主治：热痰咳嗽。
小陷胸汤,清热化痰，宽胸散结。,痰热互结证。胸脘痞闷，按之则痛，或心胸闷痛，或咳痰黄稠，舌红苔黄腻，脉滑数。,黄连6g，半夏(洗)12g，瓜蒌(实大者)20g。,先煮瓜蒌，后纳诸药，水煎温服。,伤寒表证误下，邪热内陷，与痰浊结于心下之小结胸病。痰热互结心下或胸膈，气郁不通，故胃脘或心胸痞闷，按之则痛；痰热蕴肺，则咳痰黄稠；舌红苔黄腻，脉滑数，乃痰热内蕴之象。治宜清热化痰，宽胸散结。,本方为治疗痰热结胸的常用方。临床应用以胸膈痞闷，按之则痛，舌红苔黄腻，脉滑数为辨证要点。,方中加入破气除痞之枳实，可提高疗效。若心胸闷痛者，加柴胡、桔梗、郁金、赤芍等以行气活血止痛；咳痰黄稠难咯者，可减半夏用量，加胆南星、杏仁、贝母等以清润化痰。,本方性偏苦燥，阴虚燥咳、脾虚寒痰者忌用。,常用于急性胃炎、胆囊炎、肝炎、冠心病、肺心病、急性支气管炎、胸膜炎、胸膜黏连等属痰热互结心下或胸膈者。,小陷胸汤
半夏白术天麻汤,燥湿化痰，平肝息风,风痰上扰证。眩晕，头痛，胸膈痞闷，恶心呕吐，舌苔白腻，脉弦滑,半夏一钱五分 (4.5g) ，天麻 茯苓、 橘红 各一钱 (各3g)， 白术三钱 (9g)， 甘草五分 (1.5g)， 生姜一片，大枣二枚。,水煎服。,脾湿生痰，湿痰壅遏，以致引动肝风，风痰上扰清空。风痰上扰，蒙蔽清阳，故眩晕、头痛；痰阻气滞，升降失司，故胸膈痞闷、恶心呕吐；内有痰浊，则舌苔白腻；脉来弦滑，乃风痰之征。治当化痰熄风，健脾袪湿。,本方为治风痰眩晕、头痛的常用方。临床应用以眩晕头痛，舌苔白腻，脉弦滑为辨证要点。,若眩晕较甚者，可加僵蚕、胆南星等以加强化痰熄风之力；头痛甚者，加蔓荆子、白蒺藜等以祛风止痛；呕吐甚者，可加代赭石、旋覆花以镇逆止呕；兼气虚者，可加党参、生黄芪以益气；湿痰偏盛，舌苔白滑者，可加泽泻、桂枝以渗湿化饮。,阴虚阳亢，气血不足所致之眩晕，不宜使用。,"常用于耳源性眩晕、高血压病、神经性眩晕、癫痫、面神经瘫痪等属风痰上扰者。医案示例：
1. 痰厥头痛：范天騋之内，素有脾胃之证，时显烦躁，胸中不利。大便不通，初冬出外而晚归，为寒气佛郁，闷乱大作，火不得伸故也。医疑有热，治以疏风丸，大便行而病不减，又疑药力小，复加70-80丸，下两行，前证仍不减，复添吐逆，食不能停，痰唾稠粘，涌出不止，眼黑头旋，恶心烦闷，气短促上喘，无力不欲言，心神颠倒，兀兀不止，目不敢开，如在风云中，头苦如裂，身重如山，四肢厥冷，不得安卧。余谓前证乃胃气已损，复下2次，则重虚其胃而痰厥头痛作矣，制半夏白术天麻汤主之而愈。
2. 不寐：丁某某，男，46岁。失眠已三月余，精神恍惚，头晕乏力，心悸气短，胸闷脘胀，嗳气泛恶，纳谷无味，大便不爽，舌质红，苔腻微黄，脉滑数。治拟和胃宁心，用半夏白术天麻汤加减：天麻10g，清半夏、白术、枳壳、黄连、橘皮各7.5g，茯苓、远志、麦芽、瓜萎、枣仁、竹茹各15g，水煎服。共进24剂，能正常人睡，追访至今，未见复发。
3. 美尼尔氏综合征：张某某，女，70岁。冬月冒寒，头昏头痛，视物旋转10天。西医诊为“美尼尔氏综合证”，服药罔效。刻下眩晕未减，泛恶干呕吐涎沫，心悸气短，胸痞纳差，口中粘腻，舌尖发麻，屡欲更衣，大便量少而细软，形体丰腴，舌苔白腻，六脉濡弱，诊为风痰上犯，中气素匮。处方：法半夏、天麻、陈皮各10g，白术12g，茯苓、党参、山楂各15g，吴茱萸5g，生姜6g，炙甘草3g。眼药3剂，诸症大减，已不泛恶，继服3剂痊愈。",《脾胃论》卷下有类似方剂，但组成和用法有所不同。
二陈汤,燥湿化痰，理气和中。,湿痰证。咳嗽痰多，色白易咯，恶心呕吐，胸膈痞闷，肢体困重，或头眩心悸，舌苔白滑或腻，脉滑。,半夏(汤洗七次)、橘红各15g，白茯苓9g，甘草(炙)4.5g。,加生姜7片，乌梅1个，水煎，温服。,脾失健运，湿无以化，湿聚成痰，郁积机体。湿痰为病，犯于肺致肺失宣降，则咳嗽痰多；停于胃令胃失和降，则恶心呕吐；阻于胸膈，气机不畅，则感痞闷不舒；留注于肌肉，则肢体困重；阻遏清阳，则头目眩晕；痰浊凌心，则为心悸；舌苔白滑或腻，脉滑，乃痰湿之象。冶当燥湿化痰，理气和中。,本方为燥湿化痰的基础方、常用方、代表方。临床应用以咳嗽，痰多色白易咯，舌苔白腻，脉滑为辨证要点。,治湿痰，可加苍术、厚朴以增燥湿化痰之力；治热痰，可加胆星、瓜蒌以清热化痰；治寒痰，可加干姜、细辛以温化寒痰；治风痰眩晕，可加天麻、僵蚕以化痰熄风；治食痰，可加莱菔子、麦芽以消食化痰；治郁痰，可加香附、青皮、郁金以解郁化痰；治痰流经络之瘰疬、痰核，可加海藻、昆布、牡蛎以软坚化痰。,因本方性燥，故燥痰者慎用；吐血、消渴、阴虚、血虚者忌用本方。,常用于慢性支气管炎、急慢性胃炎、梅尼尔氏合征病、神经性呕吐等属湿痰者。,二陈汤
三子养亲汤,温肺化痰，降气消食。,痰壅气逆食滞证。咳嗽喘逆，痰多胸痞，食少难消，舌苔白腻，脉滑。,紫苏子 (9g) ，白芥子 (9g)， 莱菔子 (9g)， (原书末着剂量),三药微炒，捣碎，布包微煮，频服。,高年咳嗽，气逆痰痞。年老中虚，纳运无权，每致停食生痰，痰盛壅肺，肺失宣降，故见咳嗽喘逆、痰多胸痞、食少难消等症。舌苔白腻，脉滑乃痰证属寒之征。治宜温肺化痰，降气消食。,本方为治疗痰壅气逆食滞证的常用方。临床运用以咳嗽痰多，食少胸痞，舌苔白腻，脉滑为辨证要点。无论男女老少，皆可用之，尤以老年人为宜。,常与二陈汤合用，有助于提高疗效；若兼有表寒，可再合用三拗汤。如病情得以缓解，可改用六君子汤以善其后。,对于方中三药的炮制，原书要求 “微炒、击碎”，可防止辛散耗气，减少辛味对咽喉、肺胃的不良刺激，尤能使莱菔子由生用性升变为性降下气；捣碎则利于有效成分煎出。在用法上，每剂不过三钱，布包微煎，代茶频服，可使药力缓行。本方终属治标之剂，绝非治本之图，服后一俟病情缓解，即当标本兼治。气虚者不宜单独使用。,①咳嗽变异性哮喘：应用三子养亲汤加味治疗咳嗽变异性哮喘39例，与复方甘草片治疗39例作对照，疗程28日。以咳嗽症状完全消失(治疗后咳嗽症状计分降至0分)为痊愈标准。结果：治疗组总有效率94.9%，对照组82.1%。(《中国医药指南》2013年第4期) ②慢性阻塞性肺疾病：在西医常规治疗的基础上应用三子养亲汤加减治疗慢性阻塞性肺疾病60例，与单纯西药常规治疗60例作对照，疗程14日，连服3个疗程，随访6个月。以咳喘症状完全缓解，双肺无干湿哕音，肺功能正常，恢复正常工作和生活为临床控制标准。结果：治疗组总有效率91.7%，对照组80.0%。(《临床合理用药》2013年第3期) ③肺癌咳喘：在常规西药治疗的基础上应用三子养亲汤加味治疗肺癌咳喘患者45例，与单纯西药治疗44例作对照。以治疗后患者临床症状积分较治疗前下降不少于70%为显效标准。结果：治疗组总有效率97.8%，对照组63.6%。(《内蒙古中医药》2012年第6期) ④乳腺囊性增生症：应用三子养亲汤治疗乳腺囊性增生症58例，与乳核散结片治疗55例作对照，疗程3个月。以肿块消失，乳房胀痛消失，停药3个月不复发为痊愈标准。结果：治疗组总有效率89.66%，对照组65.45%，治疗组乳房肿块、腺体水肿和乳头溢液等症状的缓解程度较对照组更显著，治疗组治疗后血清内分泌激素各项指标较治疗前均明显改善。(《中医杂志》2010年第1期) ⑤赵绍琴三子养亲汤加减治疗失眠不寐医案（《赵绍琴临床经验辑要》）男，45岁1980年2月诊。通宵不眠，甚则服安定也不能入睡，胃纳不香，大便不畅，病已二十余年，顷诊舌苔垢厚，脉象弦滑有力，曾服养心、益气、补中、温命火等方皆无效，姑拟清化痰浊方法。处方：苏子10g，莱菔子10g，白芥子10g，皂角6g，大腹皮、子各10g，水红花子10g，胡黄连6g，珍珠母30g。服药后即可入睡，近十年来每病即服此方而效。 ⑥脂肪瘤（痰湿）：白芥子二钱(6克)、苏子三钱(9克)、莱菔子三钱(9克)【用法】水煎服。【功效】祛痰，降气，消食。服一月，吐出好多痰，硬块，脂肪瘤软化，面积缩小。两个月会消失。注意需要痰湿引起的脂肪瘤才有效。气虚者不宜单独用，平时多喝海带汤。,三子养亲汤
温胆汤,理气化痰，和胃利胆。,胆郁痰扰证。胆怯易惊，头眩心悸，心烦不眠，夜多异梦；或呕恶呃逆，眩晕，癫痫。苔白腻，脉弦滑。,半夏(汤洗七次)、竹茹、枳实(麸炒，去瓤)各60g，陈皮90g，甘草(炙)30g，茯苓45g。,上锉为散。每服四大钱 (12g)，水一盏半，加生姜五片，大枣一枚，煎七分，去滓，食前服 (现代用法：加生姜5片，大枣1枚，水煎服，用量按原方比例酌减)。,素体胆气不足，复由情志不遂，胆失疏泄，气郁化热，津聚成痰，痰浊内扰，胆胃不和。胆为清净之府，性喜宁谧而恶烦扰。若胆为邪扰，失其宁谧，则胆怯易惊、心烦不眠、夜多异梦、惊悸不安；胆胃不和，胃失和降，则呕吐痰涎或呃逆；痰蒙清窍，则可发为眩晕、心悸，甚至癫痫。此证病机为胆郁痰扰，治宜理气化痰，和胃利胆。,本方为治疗胆郁痰扰的常用方。临床以心烦不寐，眩悸呕恶，苔白腻，脉弦滑为辨证要点。温胆汤治痰浊化热证常能获效。六个主证：苔腻、脉滑、头重、胸满、口粘、纳呆。其中尤以苔腻为要，可“一锤定音”，所谓“但见苔腻一证便是，其余不必悉具。但运用时还宜加减。,若心热烦甚者，加黄连、山栀、豆豉以清热除烦；失眠者，加琥珀粉、远志以宁心安神；惊悸者，加珍珠母、生牡蛎、生龙齿以重镇定惊；呕吐呃逆者，酌加苏叶或梗、枇杷叶、旋覆花以降逆止呕；眩晕，可加天麻、钩藤以平肝熄风；癫痫抽搐，可加胆星、钩藤、全蝎以熄风止痉。,,"常用于急、慢性胃炎、神经官能症、梅尼尔氏综合征、更年期综合征、癫痫、急慢性支气管炎等属胆郁痰扰者。具体应用包括：
1. 失眠：治疗组总有效率93.3%，对照组86.7%。
2. 精神分裂症：采用温胆汤加减协同富马酸喹硫平片治疗。
3. 慢性胆囊炎：总有效率为86%。
4. 更年期综合征：治疗组总有效率为92.5%，对照组77.5%。
5. 高尿酸血症：观察组总有效率为82.25%，对照组总有效率为85%。",温胆汤
甘麦大枣汤,养心安神，和中缓急,脏躁。症见精神恍惚，常悲伤欲哭，不能自主，心中烦乱，睡眠不安，甚则言行失常，呵欠频作，舌淡红苔少，脉细微数,甘草三两（9~12g），小麦一升（15~30g），大枣五~十枚,水煎服。上三味，以水六升，煮取三升，温分三服,脏躁一证是指五脏功能失调所致。本方所治证系因忧思过度，心阴受损，肝气失和所致。心阴不足，心失所养，则精神恍惚，睡眠不安，心中烦乱；肝气失和，疏泄失常，则悲伤欲哭，不能自主，或言行妄为。治宜养心安神，和中缓急。方中小麦为君药，养心阴，益心气，安心神，除烦热。甘草补益心气，和中缓急(肝)，为臣药。大枣甘平质润，益气和中，润燥缓急，为佐使药,本方为治脏躁的常用方。临床以精神恍惚，悲伤欲哭为辨证要点,①若心烦失眠、舌红少苔，心阴虚证明显者，可加百合、知母、生地、柏子仁，以养心安神。②肝血虚、脉弦细、失眠心悸，加熟地、首乌、枸杞子、酸枣仁以养肝安神。③津亏血少、大便燥结者，选加生地、生首乌、黑芝麻、肉苁蓉、火麻仁等以养血润燥通便。④奉方随证加减，可用于精神病、神经衰弱、窦性心律不齐、更年期综合征、癔病等属于心阴不足、神不守舍、出现脏躁症状者。如精神分裂症，可伍温胆汤；心律不齐可伍生脉散；更年期综合征伴高血压者，配二仙汤；小儿多汗，与玉屏风散同用；小儿夜啼，本方加钩藤、蝉衣、灯芯草；神经衰弱、头晕失眠、烦躁者，酌加磁石、夜交藤,痰火内盛之癫狂证不宜使用,临床常用于治疗癔病、更年期综合征、神经衰弱、小儿夜啼等属心阴不足，肝气失和者。具体医案包括：1936年山东荷泽县医院一男子因患精神病，投以甘麦大枣汤而愈；1982年一男性习惯性便秘患者，投以甘麦大枣汤加何首乌而愈；1999年一女性癔症患者，投以甘麦大枣汤加味而愈；2000年一女性心绞痛患者，投以甘麦大枣汤加味而愈；2002年一男性神经衰弱患者，投以甘麦大枣汤加味而愈；1998年一女性多囊卵巢综合征患者，投以甘麦大枣汤加味而愈；1991年一女性梦交症患者，投以甘麦大枣汤加味而愈；1974年以甘麦大枣汤为主治疗顽固性神经衰弱34例，有效者30例，无效者4例,甘麦大枣汤出自《金匮要略》，属于安神剂。方歌：金匮甘麦大枣汤，妇人脏躁喜悲伤，精神恍惚常欲哭，养心安神效力彰。
黄芪桂枝五物汤,益气温经，和血通痹。,血痹。肌肤麻木不仁，脉微涩而紧。,黄芪9g，桂枝9g，芍药9g，生姜18g，大枣4枚。,以水六升，煮取二升，温服七合，日三服。,气阳不足，微风侵袭，血行不畅，素体营卫不足，外受风邪所致血痹的常用方。临床以肌肤麻木不仁，肢节疼痛，或汗出恶风，脉微为辨证要点。,具备主症、主症合副症，加典型舌脉，多发于形体有余于外、不足于内之人，此用于荣卫外虚，风寒内侵，因致血痹、身体不仁者。,凡证属气虚血滞，营卫不和者，皆可选用。血痹病舌质紫暗，脉沉细涩者，可加当归、川芎、红花、鸡血藤。治疗产后身痛可重用黄芪、桂枝，下肢痛加独活、牛膝、木瓜，上肢痛加防风、秦艽、羌活，腰疼重加杜仲、川断、狗脊、肉桂等。,纯营血不足麻木者、风寒湿痹者忌用。,本方原为血痹专设，现以气阳不足，微感风邪，血行不畅为基本病机，亦用于中风之后，半身不遂，或肢体不用，或半身汗出，肌肉消瘦，气短乏力，以及产后、经后身痛。具体案例包括：IgA肾病、产后风湿、颈椎病腰间盘突出、中风后遗症、肢体麻木症、痹证等。,《金匮要略》：“血痹阴阳俱微，寸口关上微，尺中小紧，外证身体不仁，如风痹状，黄芪桂枝五物汤主之”。
升陷汤,补益肺气，举陷升阳,胸中大气下陷，气短不足以息，或努力呼吸，有似乎喘，脉沉迟微弱,生黄芪六钱(18g)、知母三钱(9g)、柴胡一钱五分(5g)、桔梗一钱五分(5g)、升麻一钱(3g)。,水煎服日2次。,升陷汤重用黄芪配伍升麻、柴胡以升阳举陷；并以知母之凉润，(以制黄芪之温)本虚何以俱温?；桔梗载药上行，用为向导，主治胸中大气下陷之证。,胸中大气下陷，气短不足以息。脉沉迟微弱。,气分虚极下陷者，酌加人参数钱，或再加山萸肉(去净核)数钱，以收敛气分之耗散，使升者不至复陷更佳；若大气下陷过甚，至少腹下坠，或更作疼者，宜将升麻改用钱半，或倍作2钱。对脾肺虚极者，可酌加人参以加强益气之力，或更加山茱萸以收敛气分之耗散。,无明显大气下陷、气短不足不宜。,主要用于治疗病态窦房结综合征、慢性疲劳综合征、胃下垂、冠心病、腹泻等病症。可治疗冠心病、胸痛、胃下垂;又有用以治疗糖尿病、低血压病、胃扭转、子宫脱垂、哮喘、肺不张、便秘、脱肛、经行衄血、自汗、盗汗、感冒经久不愈、泄泻、尿频、皲裂等症。具体医案包括：①大气下陷：一人，年二十余。动则作喘，时或咳嗽。医治数年，病转增剧。皆以为劳疾不可治。其脉非微细，而指下若不觉其动。知其大气下陷，不能鼓脉外出，以成起伏之势也。投以升陷汤，加人参、天冬各三钱，连服数剂而愈。②失音：一人，年四十许。失音半载，渐觉咽喉发紧，且常溃烂，畏风恶寒，冬日所着衣服，至孟夏犹未换。饮食减少，寝成虚劳，多方治疗，病转增剧。诊其脉，两寸微弱，毫无轩起之象，知其胸中大气下陷也。投以升陷汤，加玄参四钱，两剂，咽喉即不发紧。遂减去升麻，又连服十余剂，诸病皆愈。③一氧化碳中毒：有兄弟二人，其兄年近六旬，弟五十余。冬日畏寒，共处一小室中，炽其煤火，复严其户牖。至春初，二人皆觉胸中满闷，呼吸短气。盖因户牖不通外气，屋中氧气全被煤火着尽，胸中大气既乏氧气之助，又兼受碳气之伤，日久必然虚陷，所以呼吸短气也。因自觉满闷，医者不知病因，竞投以开破之药。迨开破益觉满闷，转以为药力未到，而益开破之。数剂之后，其兄因误治，竟至不起。其弟服药亦增剧，而犹可支持，遂延愚诊治。其脉微弱而迟，右部尤甚，自言心中发凉，小腹下坠作疼，呼吸甚觉努力。知其胸中大气下陷已剧，遂投以升陷汤，升麻改用二钱，去知母，加干姜三钱。两剂后，少腹即不下坠，呼吸亦顺。将方中升麻、柴胡、桔梗皆改用一钱，连服数剂而愈。④气胸：气胸也可以按大气下陷来治疗，但不可有积水，积水要按结胸来治。有一创伤性气胸，地方县人民医院用夏天无中成药治无效，用大剂黄芪、党参等服用有效缓解了气闷压迫感。⑤胃下垂：本方随症加减治疗胃下垂患者32例，疗程为2个月。结果：32例患者中，8例患者I临床症状消失，经胃X线钡餐造影示痊愈;20例患者临床症状及x线钡餐影像好转;4例患者症状及x线影像无明显缓解，总有效率为87.5%。(《江西中医药》2008年第7期)⑥冠心病：本方随症加减治疗冠心病患者25例，每日服药1剂直至症状消失。临床疗效评价以症状消失，多次复查心电图正常，追踪观察一年以上无异常为治愈。结果：患者疗程最长者服药200余剂，最短者服药20余剂，平均疗程45日。25例患者中，痊愈7例，显效10例，有效6例，无效2例。(《湖北中医杂志》1987年第2期)⑦腹泻：本方随症加减治疗食管癌术后腹泻11例，与西药(丙谷胺、复方地芬诺酯)治疗组10例对照，疗程为7日。结果：治疗组11例患者中，3例患者腹泻停止，大便性状正常，并持续1个月以上为痊愈;7例患者每日大便次数明显减少，大便性状较之前改善为部分缓解;1例患者较前无变化，总有效率为90.9%。(《江西中医药》2009年第2期),张锡纯升陷汤的由来“大气入于脏腑者，不病而卒死矣。”语出《灵枢·五色篇》。张锡纯作解为：“以膈上之大气，入于膈下之脏腑，非下陷乎？大气既下陷，无气包举肺外以鼓动其闟辟之机，则呼吸顿停，所以不病而猝死也。”张氏基于“诚以医者以挽回人命，为孜孜当尽之天职，至遇难治之证，历试成方不效，不得不苦心经营，自拟治法”，在临证中发明大气下陷证，创立升陷汤方。升陷汤与补中益气汤的区别在于，升陷汤没有用人参、炙甘草、当归身、橘皮、白术，而是用了知母和桔梗。升陷汤的组方理念与传统四君子汤等方有所不同，但与西医的“维生素疗法”似乎有所类同。或许，升陷汤也是“衷中参西”的产物？
当归芍药散,养血调肝，健脾利湿。,妇人妊娠或经期，肝脾两虚，腹中拘急，绵绵作痛，头晕心悸，或下肢浮肿，小便不利，舌质淡、苔白腻者。现于纠正胎位。,当归三两（9g）、芍药一斤（48g）、茯苓四两（12g）、白术四两（12g）、泽泻半斤（24g）、川芎半斤（一作三两）（10g）。,上为散。每服方寸匕，酒和服，一日三次。现代汤剂，水煎服，每日2次。,肝脾失和，湿阻血滞。本方养血调肝，健脾渗湿，体现了肝脾两调，血水同治的特点。气血两虚夹湿证(气虚证十血虚证十湿证)以心悸，气短，倦怠乏力，头晕目眩，头沉，面色不荣，指甲无泽，肢体困沉，舌质淡，苔薄白腻，脉虚弱为主，辨治气血两虚夹湿证的表现不一定都具备，只要具备其中症状2个或2个以上，即可辨为气血两虚夹湿证。,本方为治疗妇人肝脾失调，血滞湿阻证的常用方。临床应用以腹痛绵绵，月经量少，性情急躁，纳呆食少，舌淡苔白腻，脉弦细为辨证要点。,"①气郁胁胀者，加柴胡、枳实以疏肝理气，
②气郁不食者，加香附、麦芽以行气消食；
③ 气郁有热者，加栀子以清热；
④血虚者，加阿胶、熟地等以养血补血。
⑤下利畏寒者，加附子。
⑥小腹不温者，加吴茱萸、生姜。
⑦ 口苦、脉数者，加苦参、大黄。
⑧肝气郁结者，加柴胡。",本方在治妊娠病时，应注意方中川芎的用量宜小。因其为血中气药，味辛走窜。偏寒、偏热、偏虚、偏实之腹痛，皆不宜原方照搬以用。,本方常用于妊娠腹痛、痛经、习惯性流产、妊娠羊水过多、胎位不正、不孕症、妊娠贫血、功能性子宫出血、子宫内膜炎、盆腔炎、子宫肌瘤、前列腺炎、更年期综合症，多囊卵巢综合征、卵巢囊肿、梅尼埃病、阑尾炎、失眠等属肝脾失调，气血郁滞湿阻所致者。现代药理研究证实当归芍药散主要有调节下丘脑一垂体一卵巢轴功能，改变血液流变性，抑制血小板聚集，改善微循环，抗炎等作用；崩漏，伴小腹时痛，白带淋漓，脉沉弦滑，苔白腻。(《刘渡舟验案精选》）,当归芍药散
暖肾助火汤,温补脾肾，固精止涩。,色欲过度，肾经虚寒，阴萎，遗精，肾阳不足，脾气虚弱虚寒之遗精，伴畏寒肢冷，阳痿或阳缩早泄，性欲减退，食欲缺乏，脉沉细，舌淡、苔白等。,潞参9g， 白术（土炒）9g，山药9g（炒），巴戟天15g（去心，盐水炒），覆盆子15g（盐水炒），桑螵蛸9g（盐水炒），附子片4.5g， 上元桂4.5g（去皮，研），芡实9g（炒），肉苁蓉3g（洗净）。,水煎温服。,本方主要用于脾气虚弱，肾阳不足，精关失常所致之遗精。方中党参、炒白术、炒山药、桑螵蛸、炒芡实温补脾肾，益气固精；巴戟天、覆盆子涩精固脱；附子、肉桂、肉苁蓉温阴健脾补肾。全方共奏温补脾肾，固精止遗之功。若加金樱子、山茱萸、龙骨疗效尤佳。,遗精症见梦遗或滑精，日久不愈，并伴有形寒肢冷，身倦乏力，食欲不振，性欲减退或阳痿或缩阳，舌淡，苔薄白，脉沉细等。,若加金樱子、山茱萸、龙骨疗效尤佳。,阴虚火旺慎用。,无,
五萎汤,补中祛湿，养阴清热。,五脏痿：肺气热则皮毛先痿而为肺鸣；心气热则脉痿筋纵，不任地；肝气热则筋痿，口苦而痉挛；脾气热则肉痿，肌肤不仁；肾气热则骨痿，腰脊不举，渐冻症。,人参3g，白术3g，茯苓3g，甘草（炙）1.2g，当归4.5g，苡仁9g，麦冬6g，黄柏1.5g，知母1.5g。,水煎分二次服,本证属于五脏痿证，故用人参、白术、炙草以补中；当归、麦冬以养阴；茯苓、薏苡仁以祛湿；黄柏、知母以清热。诸药合用，共起补中祛湿，养阴清热之功。,本方治疗五脏痿证的常用方。以肢体软弱无力，舌质淡、薄苔，脉细弱无力为证治要点。,心气热，加黄连1g，丹参、生地各3g；肝气热，加黄芩、丹皮、牛膝各3g；脾气热，加连翘3g，生地4.5g；肾气热，加生地、牛膝、石斛各4.5g；肺气热，加天冬、百合各6g；挟痰加川贝、竹沥；湿痰加半夏曲；瘀血加桃仁、红花。,,常用于小儿痿证。渐冻症：手不能持物，全身无力，类风湿，10剂大便得通，小便正常，至20剂手已能握筷子，至40剂手已能端饭碗。痿证是长期病态发展的结果，需要有耐心用量不大，久病不能急攻，须慢慢发挥作用。,《医学心悟》卷三。五萎汤寓意泄南补北，正合《内经》肺热叶焦发为痿之意。
